Product_Link,Product_Name,Rating,Description,Price,Website
https://www.google.com/url?url=https://www.dotandkey.com/products/dot-key-cica-10-niacinamide-serum-for-blemish-free-spotless-glowing-skin-3-tranexamic-reduces-acne-dark-spots-oily-acne-prone-sensitive-skin%3Fsrsltid%3DAfmBOoramapUasOMABs9gts8ZxQgeMPDiFgKSzy2ivTWGpZmSscrRRsJiyY&rct=j&q=&esrc=s&opi=95576897&sa=U&ved=0ahUKEwj71_LDn-qGAxWKSmwGHRhVB5AQ1SkI2hMoAA&usg=AOvVaw0CQjt_9XW4Os6CKYZ33A63,Dot & Key 10% Niacinamide + Cica Serum | Reduces Acne & Dark Spots | For Oily ...,4.243,Serum · For Oily Skin,509,Dot & Key
"https://www.google.com/shopping/product/17387105575560283231?sca_esv=453f36eb1da0db3c&rlz=1C1VDKB_enIN978IN978&sxsrf=ADLYWIK8JROFhb3voktLonYWDsCm7-QQEQ:1718888729937&q=oily+skincare+products&fbs=AEQNm0BJU8HQC3fzNpLzBMuBiMvVRr8BSz33Xp3ghdPGS7xtz4DkKjUwhIZpLqvxYvXFn9vUbxaHayUNqeV8H65C6InRL58TaRIgLWzQD5SxGotCxotPNQAUPXOMJuUV3F-7mbgk8WYbOGelu6b6i3SdgKxXePmzr4aFTaViGgMugpefcc9r5uQoGYlgnUcptcYVjVSVhW9XjqNlH7PQQ5bmcN12WR3RYQ&ictx=111&biw=1536&bih=695&dpr=1.25&prds=eto:2405775183090540899_0,pid:642910076797026949,rsk:PC_3507565839222392437&sa=X&ved=0ahUKEwj71_LDn-qGAxWKSmwGHRhVB5AQ8gII_REoAA","Ustraa Face Wash - for Acne & Oil Control, Oily Skin 100 gms",4.2302,Oil-free · Charcoal,169,Chhotu Di Hatti
https://beminimalist.co/products/salicylic-lha-2-cleanser?currency=INR&variant=40105720905889&utm_source=google&utm_medium=cpc&utm_campaign=Google%20Shopping&stkn=f4faea6d89b6&srsltid=AfmBOookPUTng0bFeDVraLFj9stFdui6EfaYZFgzCq9_8--j1P8sCjLuy8U,Minimalist Salicylic Acid + LHA 2% Cleanser 100ml,4.21,Moisturising · Men's,295,Minimalist
"https://www.google.com/shopping/product/1900532667665884872?sca_esv=453f36eb1da0db3c&rlz=1C1VDKB_enIN978IN978&sxsrf=ADLYWIK8JROFhb3voktLonYWDsCm7-QQEQ:1718888729937&q=oily+skincare+products&fbs=AEQNm0BJU8HQC3fzNpLzBMuBiMvVRr8BSz33Xp3ghdPGS7xtz4DkKjUwhIZpLqvxYvXFn9vUbxaHayUNqeV8H65C6InRL58TaRIgLWzQD5SxGotCxotPNQAUPXOMJuUV3F-7mbgk8WYbOGelu6b6i3SdgKxXePmzr4aFTaViGgMugpefcc9r5uQoGYlgnUcptcYVjVSVhW9XjqNlH7PQQ5bmcN12WR3RYQ&ictx=111&biw=1536&bih=695&dpr=1.25&prds=eto:13065003915455417972_0,pid:2945358456918957653,rsk:PC_16079471863539447683&sa=X&ved=0ahUKEwj71_LDn-qGAxWKSmwGHRhVB5AQ8gII5RYoAA",Minimalist Salicylic Acid 2% Face Serum 30ml,4.21,Salicylic Acid · Oil-free,461,Snapdeal
"https://www.google.com/shopping/product/8529981265327578603?sca_esv=453f36eb1da0db3c&rlz=1C1VDKB_enIN978IN978&sxsrf=ADLYWIK8JROFhb3voktLonYWDsCm7-QQEQ:1718888729937&q=oily+skincare+products&fbs=AEQNm0BJU8HQC3fzNpLzBMuBiMvVRr8BSz33Xp3ghdPGS7xtz4DkKjUwhIZpLqvxYvXFn9vUbxaHayUNqeV8H65C6InRL58TaRIgLWzQD5SxGotCxotPNQAUPXOMJuUV3F-7mbgk8WYbOGelu6b6i3SdgKxXePmzr4aFTaViGgMugpefcc9r5uQoGYlgnUcptcYVjVSVhW9XjqNlH7PQQ5bmcN12WR3RYQ&ictx=111&biw=1536&bih=695&dpr=1.25&prds=eto:2492494128275747977_0,pid:15591197141904363481,rsk:PC_12595741488852204268&sa=X&ved=0ahUKEwj71_LDn-qGAxWKSmwGHRhVB5AQ8gII7REoAA",Just Herbs | The Hydraclean Kit: Clear & Radiant Skin Set,4.01,Boxed · Unisex,559,Just Herbs
"https://www.google.com/shopping/product/15562175021091431158?sca_esv=453f36eb1da0db3c&rlz=1C1VDKB_enIN978IN978&sxsrf=ADLYWIK8JROFhb3voktLonYWDsCm7-QQEQ:1718888729937&q=oily+skincare+products&fbs=AEQNm0BJU8HQC3fzNpLzBMuBiMvVRr8BSz33Xp3ghdPGS7xtz4DkKjUwhIZpLqvxYvXFn9vUbxaHayUNqeV8H65C6InRL58TaRIgLWzQD5SxGotCxotPNQAUPXOMJuUV3F-7mbgk8WYbOGelu6b6i3SdgKxXePmzr4aFTaViGgMugpefcc9r5uQoGYlgnUcptcYVjVSVhW9XjqNlH7PQQ5bmcN12WR3RYQ&ictx=111&biw=1536&bih=695&dpr=1.25&prds=eto:1661952247285569159_0,pid:15240840662164926481,rsk:PC_17050252656557671992&sa=X&ved=0ahUKEwj71_LDn-qGAxWKSmwGHRhVB5AQ8gII1hUoAA","Oil-Free Daily Face Wash With Hyaluronic Acid, Glycolic Acid & Multivitamins for ...",3.936,Exfoliating · Oil-free,256,Nykaa Man
https://www.google.com/url?url=https://mostunderated.com/products/oil-control-skincare-kit%3Fvariant%3D47966224679233&rct=j&q=&esrc=s&opi=95576897&sa=U&ved=0ahUKEwj71_LDn-qGAxWKSmwGHRhVB5AQ1SkIvhEoAA&usg=AOvVaw3cqDj-6Jo7ARJM_9XSXXqp,Oil Control Skincare Kit,0,,649,Most Underated
https://www.google.com/url?url=https://www.amazon.in/Watermelon-Cleanser-100ml-Toner-Moisturizer/dp/B0BRNDJZV3%3Fsource%3Dps-sl-shoppingads-lpcontext%26ref_%3Dfplfs%26psc%3D1%26smid%3DA6M8HFCIB8PF3&rct=j&q=&esrc=s&opi=95576897&sa=U&ved=0ahUKEwj71_LDn-qGAxWKSmwGHRhVB5AQ1SkIzhEoAA&usg=AOvVaw1oNaI_OdNdk1l3tKVpqJOr,"Dot & Key Watermelon CTM Kit | Cleanser 100ml, Toner 150ml, Moisturizer 60ml ...",0,,1139,Amazon.in
https://www.google.com/url?url=https://shop.cureskin.com/collections/for-dry-skin%3Fsrsltid%3DAfmBOopKKuz-6sPFKpnh1whG4XkpxSUIO1ON7NTWqyipagP9ppa0y2bOF6g&rct=j&q=&esrc=s&opi=95576897&sa=U&ved=0ahUKEwj71_LDn-qGAxWKSmwGHRhVB5AQ1SkIzhIoAA&usg=AOvVaw3ucdwu6VWxH3TGHT_Qv-mU,Oily Skincare Kit,0,,1499,shop.cureskin.com
https://www.google.com/url?url=https://www.shopsy.in/elibliss-green-tea-pore-cleansing-foaming-oily-skin-men-women-all-types-face-wash/p/itm7ce2ac0a0dfa5%3Fpid%3DYFHHYG8AGVZX5Q2G%26lid%3DLSTYFHHYG8AGVZX5Q2GMOOPXH%26marketplace%3DFLIPKART&rct=j&q=&esrc=s&opi=95576897&sa=U&ved=0ahUKEwj71_LDn-qGAxWKSmwGHRhVB5AQ1SkI2hIoAA&usg=AOvVaw2BIpjXHAN3bSyXLDju-MAG,Elibliss Green Tea Pore Cleansing Foaming For Oily Skin Men & Women Men & Women ...,0,,134,Shopsy By Flipkart
